FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
3/27/2023,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,1210,STL,"St. Louis, MO",MCO,"Orlando, FL",2023,2033,10,16,2049,2353,24,2356,17,21,0,,0,153,164,124,882,0,0,11,0,10
9/16/2021,Horizon Air,Horizon Air: QX,QX,19687,2100,SEA,"Seattle, WA",PSC,"Pasco/Kennewick/Richland, WA",2257,2256,-1,11,2307,2343,7,2350,2350,0,0,,0,53,54,36,172,,,,,
3/12/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1234,PNS,"Pensacola, FL",ATL,"Atlanta, GA",520,512,-8,9,521,709,9,729,718,-11,0,,0,69,66,48,271,,,,,
4/23/2023,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1196,ATL,"Atlanta, GA",RSW,"Fort Myers, FL",1221,1218,-3,12,1230,1340,4,1400,1344,-16,0,,0,99,86,70,515,,,,,
6/24/2020,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2640,DFW,"Dallas/Fort Worth, TX",PBI,"West Palm Beach/Palm Beach, FL",1630,1625,-5,12,1637,1955,5,2018,2000,-18,0,,0,168,155,138,1102,,,,,
10/31/2021,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,61,MYR,"Myrtle Beach, SC",EWR,"Newark, NJ",2159,2152,-7,13,2205,2326,8,2342,2334,-8,0,,0,103,102,81,550,,,,,
3/14/2019,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,316,DTW,"Detroit, MI",LGA,"New York, NY",600,602,2,11,613,729,10,740,739,-1,0,,0,100,97,76,502,,,,,
8/16/2021,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4676,JFK,"New York, NY",DTW,"Detroit, MI",720,713,-7,19,732,855,32,921,927,6,0,,0,121,134,83,509,,,,,
3/3/2023,Envoy Air,Envoy Air: MQ,MQ,20398,3615,ICT,"Wichita, KS",ORD,"Chicago, IL",648,643,-5,10,653,819,9,845,828,-17,0,,0,117,105,86,588,,,,,
4/7/2023,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1300,IAD,"Washington, DC",ORF,"Norfolk, VA",2230,2226,-4,11,2237,2315,4,2328,2319,-9,0,,0,58,53,38,157,,,,,
6/3/2021,Horizon Air,Horizon Air: QX,QX,19687,2319,GTF,"Great Falls, MT",SEA,"Seattle, WA",755,742,-13,24,806,849,10,852,859,7,0,,0,117,137,103,512,,,,,
10/2/2022,Envoy Air,Envoy Air: MQ,MQ,20398,3929,LSE,"La Crosse, WI",ORD,"Chicago, IL",613,612,-1,11,623,705,20,725,725,0,0,,0,72,73,42,215,,,,,
7/26/2022,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5273,JFK,"New York, NY",CVG,"Cincinnati, OH",1900,1946,46,28,2014,2149,5,2124,2154,30,0,,0,144,128,95,589,30,0,0,0,0
9/18/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5350,RDM,"Bend/Redmond, OR",LAX,"Los Angeles, CA",1539,1529,-10,11,1540,1730,13,1751,1743,-8,0,,0,132,134,110,726,,,,,
5/25/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5358,FLL,"Fort Lauderdale, FL",BNA,"Nashville, TN",815,812,-3,11,823,912,4,935,916,-19,0,,0,140,124,109,793,,,,,
10/10/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2014,ATL,"Atlanta, GA",BNA,"Nashville, TN",1320,1335,15,6,1341,1320,5,1325,1325,0,0,,0,65,50,39,214,,,,,
11/28/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1189,DFW,"Dallas/Fort Worth, TX",BNA,"Nashville, TN",1102,1057,-5,10,1107,1224,7,1253,1231,-22,0,,0,111,94,77,631,,,,,
11/16/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,54,IAH,"Houston, TX",ATL,"Atlanta, GA",1745,1745,0,11,1756,2022,9,2043,2031,-12,0,,0,118,106,86,689,,,,,
6/11/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1826,ORF,"Norfolk, VA",DFW,"Dallas/Fort Worth, TX",1149,1149,0,10,1159,1343,11,1400,1354,-6,0,,0,191,185,164,1212,,,,,
12/11/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,640,ORD,"Chicago, IL",PHL,"Philadelphia, PA",2105,2059,-6,26,2125,2346,5,2359,2351,-8,0,,0,114,112,81,678,,,,,
2/24/2023,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,347,KOA,"Kona, HI",HNL,"Honolulu, HI",1645,1642,-3,9,1651,1722,10,1733,1732,-1,0,,0,48,50,31,163,,,,,
3/21/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4330,MQT,"Marquette, MI",DTW,"Detroit, MI",1810,1750,-20,17,1807,1903,8,1938,1911,-27,0,,0,88,81,56,349,,,,,
1/14/2019,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,929,ORD,"Chicago, IL",MCO,"Orlando, FL",1835,1827,-8,30,1857,2201,6,2219,2207,-12,0,,0,164,160,124,1005,,,,,
6/5/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2054,ATL,"Atlanta, GA",HSV,"Huntsville, AL",1850,1848,-2,10,1858,1831,4,1845,1835,-10,0,,0,55,47,33,151,,,,,
5/27/2023,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,707,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",1111,1103,-8,11,1114,1152,5,1224,1157,-27,0,,0,73,54,38,190,,,,,
5/11/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4707,SNA,"Santa Ana, CA",LAS,"Las Vegas, NV",1235,1231,-4,10,1241,1322,11,1345,1333,-12,0,,0,70,62,41,226,,,,,
2/14/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,220,SMF,"Sacramento, CA",DEN,"Denver, CO",1110,1104,-6,7,1111,1409,5,1425,1414,-11,0,,0,135,130,118,909,,,,,
7/15/2022,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2269,BOS,"Boston, MA",ORD,"Chicago, IL",1734,1924,110,26,1950,2052,24,1930,2116,106,0,,0,176,172,122,867,2,0,0,0,104
10/14/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2308,SAT,"San Antonio, TX",MDW,"Chicago, IL",715,715,0,8,723,934,8,945,942,-3,0,,0,150,147,131,1036,,,,,
11/1/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4640,IAH,"Houston, TX",CRP,"Corpus Christi, TX",1810,1804,-6,14,1818,1856,5,1924,1901,-23,0,,0,74,57,38,201,,,,,
9/19/2022,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4175,COS,"Colorado Springs, CO",SLC,"Salt Lake City, UT",1750,1744,-6,15,1759,1920,5,1938,1925,-13,0,,0,108,101,81,411,,,,,
12/13/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,812,SEA,"Seattle, WA",DTW,"Detroit, MI",2259,2253,-6,11,2304,532,7,553,539,-14,0,,0,234,226,208,1927,,,,,
12/23/2022,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,1163,PHL,"Philadelphia, PA",MCO,"Orlando, FL",1108,1108,0,33,1141,1357,14,1354,1411,17,0,,0,166,183,136,861,0,0,17,0,0
3/15/2019,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,3453,CVG,"Cincinnati, OH",LGA,"New York, NY",1633,2018,225,15,2033,2221,18,1829,2239,250,0,,0,116,141,108,585,0,0,250,0,0
6/16/2019,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,89,SEA,"Seattle, WA",ANC,"Anchorage, AK",2210,2332,82,21,2353,155,5,45,200,75,0,,0,215,208,182,1448,0,0,0,0,75
10/10/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,4110,MKE,"Milwaukee, WI",DCA,"Washington, DC",1255,1308,13,7,1315,1539,3,1545,1542,-3,0,,0,110,94,84,634,,,,,
12/21/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1292,LAX,"Los Angeles, CA",BNA,"Nashville, TN",2309,2322,13,14,2336,508,6,505,514,9,0,,0,236,232,212,1797,,,,,
7/25/2019,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,3387,MOB,"Mobile, AL",ATL,"Atlanta, GA",1446,1439,-7,21,1500,1650,8,1714,1658,-16,0,,0,88,79,50,302,,,,,
8/12/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1827,OKC,"Oklahoma City, OK",ATL,"Atlanta, GA",1700,1655,-5,17,1712,2003,5,1955,2008,13,0,,0,115,133,111,761,,,,,
3/3/2022,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5071,GSO,"Greensboro/High Point, NC",CLT,"Charlotte, NC",517,505,-12,21,526,546,8,610,554,-16,0,,0,53,49,20,83,,,,,
12/19/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3576,OKC,"Oklahoma City, OK",ATL,"Atlanta, GA",1755,1811,16,9,1820,2048,5,2055,2053,-2,0,,0,120,102,88,761,,,,,
4/24/2019,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2100,BOS,"Boston, MA",HOU,"Houston, TX",1255,1251,-4,20,1311,1601,5,1615,1606,-9,0,,0,260,255,230,1609,,,,,
10/26/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,173,SEA,"Seattle, WA",DEN,"Denver, CO",1125,1130,5,22,1152,1455,9,1510,1504,-6,0,,0,165,154,123,1024,,,,,
5/28/2023,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1594,OKC,"Oklahoma City, OK",DFW,"Dallas/Fort Worth, TX",1837,1849,12,12,1901,1932,5,1941,1937,-4,0,,0,64,48,31,175,,,,,
4/24/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2832,MSP,"Minneapolis, MN",ATL,"Atlanta, GA",1541,1535,-6,13,1548,1847,6,1915,1853,-22,0,,0,154,138,119,907,,,,,
5/6/2021,Allegiant Air,Allegiant Air: G4,G4,20368,2249,AVL,"Asheville, NC",SFB,"Sanford, FL",2152,2153,1,8,2201,2310,9,2318,2319,1,0,,0,86,86,69,465,,,,,
2/18/2021,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3018,DFW,"Dallas/Fort Worth, TX",ASE,"Aspen, CO",1739,1739,0,16,1755,1853,3,1909,1856,-13,0,,0,150,137,118,701,,,,,
9/30/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2756,JFK,"New York, NY",PHX,"Phoenix, AZ",2122,2123,1,16,2139,2322,5,2352,2327,-25,0,,0,330,304,283,2153,,,,,
4/13/2019,JetBlue Airways,JetBlue Airways: B6,B6,20409,885,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",730,826,56,21,847,1001,3,924,1004,40,0,,0,114,98,74,427,40,0,0,0,0
12/20/2022,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,564,MCO,"Orlando, FL",BWI,"Baltimore, MD",910,950,40,11,1001,1141,5,1120,1146,26,0,,0,130,116,100,787,19,0,0,0,7
6/20/2021,JetBlue Airways,JetBlue Airways: B6,B6,20409,64,SEA,"Seattle, WA",JFK,"New York, NY",1332,1359,27,15,1414,2209,11,2205,2220,15,0,,0,333,321,295,2422,15,0,0,0,0
7/21/2023,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5499,BTR,"Baton Rouge, LA",DFW,"Dallas/Fort Worth, TX",1225,1218,-7,24,1242,1340,20,1404,1400,-4,0,,0,99,102,58,383,,,,,
5/28/2020,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,163,DCA,"Washington, DC",LAX,"Los Angeles, CA",1736,1729,-7,21,1750,1943,5,2039,1948,-51,0,,0,363,319,293,2311,,,,,
8/26/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3725,DTW,"Detroit, MI",MCI,"Kansas City, MO",1405,1359,-6,15,1414,1442,7,1506,1449,-17,0,,0,121,110,88,629,,,,,
6/26/2021,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1689,MCO,"Orlando, FL",LAX,"Los Angeles, CA",1549,1618,29,16,1634,1805,6,1805,1811,6,0,,0,316,293,271,2218,,,,,
2/15/2019,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,317,SFO,"San Francisco, CA",IND,"Indianapolis, IN",1140,1128,-12,41,1209,1837,8,1854,1845,-9,0,,0,254,257,208,1943,,,,,
8/18/2021,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5320,MHT,"Manchester, NH",MDW,"Chicago, IL",1835,1917,42,10,1927,2028,29,2000,2057,57,0,,0,145,160,121,838,0,0,15,0,42
12/29/2021,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,775,MIA,"Miami, FL",ORF,"Norfolk, VA",2215,2242,27,18,2300,43,3,33,46,13,0,,0,138,124,103,802,,,,,
8/13/2021,Republic Airline,Republic Airline: YX,YX,20452,4677,DCA,"Washington, DC",PVD,"Providence, RI",1800,,,,,,,1919,,,1,C,0,79,,,356,,,,,
5/21/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1612,DFW,"Dallas/Fort Worth, TX",GSP,"Greer, SC",1020,1101,41,10,1111,1400,9,1338,1409,31,0,,0,138,128,109,862,0,9,0,0,22
4/13/2021,JetBlue Airways,JetBlue Airways: B6,B6,20409,917,BOS,"Boston, MA",JFK,"New York, NY",600,601,1,19,620,703,11,713,714,1,0,,0,73,73,43,187,,,,,
